規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成26,2014,年平均,99.5,-0.7,99.4,100.4,97.5,99.6,101.2,98.5,99.1,99.7,101,96.4,105.7,100,101,99.8,97.6
５人以上,平成27,2015,年平均,100,0.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成28,2016,年平均,100,0,101,100.4,106.2,100.7,100.9,100.3,99,100.3,102.2,94.9,91.8,104.7,98.7,101.5,97.7
５人以上,平成29,2017,年平均,100.5,0.5,101.5,101.7,104.4,100.9,101.1,102.8,101,100.3,100.8,95.3,91.3,103.1,101.2,99,95.3
５人以上,平成30,2018,年平均,100.3,-0.2,100.1,100.6,115.8,102.2,98.4,109.2,101.8,102.1,103.3,94.4,93.6,99.7,99.5,112.2,94.7
５人以上,平成31・令和元,2019,年平均,100.8,0.5,107,100.4,117.7,104.1,99.2,107.1,102.6,97.1,108.1,88.2,97.3,96.2,98.5,104.9,99.1
５人以上,令和元,2019,8月,101.2,0.9,107.4,101,111,105.5,97,108,103.8,95,106.5,89.7,96.3,96.9,100,103.3,100.2
５人以上,令和元,2019,9月,101.1,0.4,105.4,101,113.7,105.8,96.3,108.1,105.1,96.3,105.3,88.4,96.1,98.1,98.7,105.1,99.9
５人以上,令和元,2019,10月,101.7,0.6,106.5,101.7,118.6,106.7,101.4,108.8,104.5,97.4,108.3,88.9,96.4,91.9,99.3,104.6,100
５人以上,令和元,2019,11月,101,-0.6,106.9,101.5,112.3,104.8,99.4,108.3,102.4,96.6,107.4,88.7,91.4,94.2,98.8,104.4,100.5
５人以上,令和元,2019,12月,101,0.1,106.5,102.2,105.8,104,99.7,108.2,100.7,94.3,107.6,90,95.6,96.1,99.4,104.8,99.3
５人以上,令和２,2020,1月,99.7,1,107,98.1,110.9,103.7,91.8,105.7,102.8,97.8,104.9,87.4,107.7,92.1,99.8,103.5,99.8
５人以上,令和２,2020,2月,100,0.4,106.7,98.8,112,103.3,97.4,106.8,102.9,97.2,105,84.9,106.8,93.2,100.8,102.8,96.9
