事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,TL 調査産業計,平成27,2015,年平均,18.1,18.8,17,144.2,156.9,125.5,132.2,141.7,118.2,12,15.2,7.3
５人以上,TL 調査産業計,平成28,2016,年平均,18.1,18.8,17,143.2,155.7,125.1,131.8,141.3,118,11.4,14.4,7.1
５人以上,TL 調査産業計,平成29,2017,年平均,18,18.8,16.9,143,156,124.7,131.7,141.5,117.8,11.3,14.5,6.9
５人以上,TL 調査産業計,平成30,2018,年平均,17.9,18.7,16.8,141.1,153.6,124.1,130.2,139.9,117,10.9,13.7,7.1
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,17.4,18.2,16.3,138.1,150.8,121.1,126.7,136.4,113.8,11.4,14.4,7.3
５人以上,TL 調査産業計,令和２,2020,年平均,17.1,17.9,15.9,134.5,147,117.6,124.2,133.8,111.2,10.3,13.2,6.4
５人以上,TL 調査産業計,令和２,2020,1月,16.5,17.3,15.5,130.8,142.6,115,119.9,128.7,108.1,10.9,13.9,6.9
５人以上,TL 調査産業計,令和２,2020,2月,16.7,17.5,15.7,132.7,144.8,116.3,121.5,130.4,109.3,11.2,14.4,7
５人以上,TL 調査産業計,令和２,2020,3月,17.1,18,15.9,135.7,148.4,118.3,124.5,134.1,111.3,11.2,14.3,7
５人以上,TL 調査産業計,令和２,2020,4月,17.2,18.2,15.8,135.4,148.8,117,125.6,136.4,110.9,9.8,12.4,6.1
５人以上,TL 調査産業計,令和２,2020,5月,15.3,16.2,14,119.4,130.9,103.7,111.4,120.9,98.5,8,10,5.2
５人以上,TL 調査産業計,令和２,2020,6月,17.6,18.5,16.3,137,150.1,119.4,127.8,138.3,113.6,9.2,11.8,5.8
５人以上,TL 調査産業計,令和２,2020,7月,18.1,19,16.8,141.7,154.9,123.7,131.3,141.6,117.3,10.4,13.3,6.4
５人以上,TL 調査産業計,令和２,2020,8月,16.4,17.2,15.5,129.2,140.6,114,119.4,128.1,107.9,9.8,12.5,6.1
５人以上,TL 調査産業計,令和２,2020,9月,17.1,17.9,16.1,134.6,146.7,118.6,124.5,133.6,112.4,10.1,13.1,6.2
５人以上,TL 調査産業計,令和２,2020,10月,18,18.9,16.8,142.4,155.4,125,131.4,141.3,118.1,11,14.1,6.9
５人以上,TL 調査産業計,令和２,2020,11月,17.5,18.3,16.3,138.2,151.1,120.9,127.3,137.1,114.1,10.9,14,6.8
５人以上,TL 調査産業計,令和２,2020,12月,17.3,18.1,16.2,136.9,149.5,120.2,126,135.5,113.3,10.9,14,6.9
５人以上,"C 鉱業,採石業,砂利採取業",平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,18.8,18.9,18.3,154.7,158.9,142.9,135.1,136.9,130,19.6,22,12.9
５人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,18.6,18.7,18.2,154.6,157.9,143.5,136,137.5,130.9,18.6,20.4,12.6
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,18.9,19,18.5,156.7,159.1,148.7,136.9,137.8,134,19.8,21.3,14.7
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,1月,17.9,18,17.4,146.9,149.5,138.8,128,129.3,124,18.9,20.2,14.8
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,2月,16.8,17,16.4,140.8,144,130.6,122.5,124.3,116.8,18.3,19.7,13.8
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,3月,19.6,19.5,19.6,160,161.4,155.9,141,141.2,140.6,19,20.2,15.3
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,4月,20.1,20,20.4,166.6,167.4,164,146.7,146.4,147.7,19.9,21,16.3
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,5月,17.5,17.7,16.7,144.9,147.8,134.5,127.2,128.8,121.3,17.7,19,13.2
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,6月,20.8,20.9,20.7,170.5,172.3,164.4,151.5,151.9,150,19,20.4,14.4
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,7月,20.2,20.3,19.8,167,169.5,158.7,146.3,147.2,143.2,20.7,22.3,15.5
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,8月,18.6,18.7,18.1,155.4,158.1,145.4,136,136.9,132.4,19.4,21.2,13
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,9月,18.3,18.4,17.9,154,156.9,143.8,133.4,134.1,131,20.6,22.8,12.8
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,10月,19.8,19.9,19.6,166.2,168.4,157.9,145,145.4,143.4,21.2,23,14.5
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,11月,18.1,18.4,17.2,153.5,156.7,141.8,132.3,133.9,126.5,21.2,22.8,15.3
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,12月,18.2,18.4,17.8,153.2,155.8,145,131.8,132.9,128.2,21.4,22.9,16.8
５人以上,D 建設業,平成27,2015,年平均,20.2,20.5,18.8,173.6,177.5,152.3,155,157.4,141.7,18.6,20.1,10.6
５人以上,D 建設業,平成28,2016,年平均,20.5,20.8,19,175.8,179.5,154.7,158.3,160.7,144.5,17.5,18.8,10.2
５人以上,D 建設業,平成29,2017,年平均,20.5,20.8,18.8,177.4,182.4,152.5,156.6,159.4,142.9,20.8,23,9.6
５人以上,D 建設業,平成30,2018,年平均,20.4,20.8,18.6,176,181.6,150.9,155,157.9,142,21,23.7,8.9
５人以上,D 建設業,平成31・令和元,2019,年平均,19.9,20.2,18.4,169.3,174,147.4,148.7,151.1,137.7,20.6,22.9,9.7
５人以上,D 建設業,令和２,2020,年平均,19.5,19.8,18.4,166.2,169.9,147.3,148,150,137.8,18.2,19.9,9.5
５人以上,D 建設業,令和２,2020,1月,18.6,18.8,17.2,158.5,162.3,137.6,140.6,142.7,129.2,17.9,19.6,8.4
５人以上,D 建設業,令和２,2020,2月,19.4,19.6,18.1,166.1,169.9,145.6,145.6,147.4,136,20.5,22.5,9.6
５人以上,D 建設業,令和２,2020,3月,19.8,20,18.7,169.6,173,151.9,149.2,150.8,141.2,20.4,22.2,10.7
５人以上,D 建設業,令和２,2020,4月,20.3,20.6,18.8,172.3,175.8,153.7,153.7,155.8,142.8,18.6,20,10.9
５人以上,D 建設業,令和２,2020,5月,17.5,17.7,16.2,145.7,148.6,130.4,131.1,132.8,122.2,14.6,15.8,8.2
５人以上,D 建設業,令和２,2020,6月,20.1,20.3,19.2,170.1,173.6,152.5,153.7,155.6,144,16.4,18,8.5
５人以上,D 建設業,令和２,2020,7月,21.2,21.5,19.9,179,183.3,157.9,160.7,163.4,147.8,18.3,19.9,10.1
５人以上,D 建設業,令和２,2020,8月,18.2,18.5,17.1,155.5,159.3,137.3,138.1,140.2,128.1,17.4,19.1,9.2
５人以上,D 建設業,令和２,2020,9月,19.3,19.5,18.4,163.8,167.5,145.7,146.1,148,136.8,17.7,19.5,8.9
５人以上,D 建設業,令和２,2020,10月,20.6,20.8,19.7,175.2,179,157.7,156,157.9,147.2,19.2,21.1,10.5
５人以上,D 建設業,令和２,2020,11月,20.2,20.5,18.8,172.3,177,149.6,153.6,156.3,140.3,18.7,20.7,9.3
５人以上,D 建設業,令和２,2020,12月,19.5,19.7,18.4,166.3,170.5,146.2,147.6,149.9,136.3,18.7,20.6,9.9
５人以上,E 製造業,平成27,2015,年平均,19,19.2,18.2,157.6,163.1,143,145.3,149.3,134.8,12.3,13.8,8.2
５人以上,E 製造業,平成28,2016,年平均,19,19.3,18.2,156.6,162.5,142,145,149.5,133.8,11.6,13,8.2
５人以上,E 製造業,平成29,2017,年平均,19.1,19.3,18.4,157.6,162.7,144.6,146,149.9,136.2,11.6,12.8,8.4
５人以上,E 製造業,平成30,2018,年平均,19,19.3,18.2,158.6,164.7,144.6,145.6,150.1,135.3,13,14.6,9.3
５人以上,E 製造業,平成31・令和元,2019,年平均,18.6,19,17.6,154,159.9,139.9,141.7,146.4,130.3,12.3,13.5,9.6
５人以上,E 製造業,令和２,2020,年平均,18.4,18.8,17.6,150.2,155.4,138.3,140,144.4,129.9,10.2,11,8.4
５人以上,E 製造業,令和２,2020,1月,17.2,17.6,16.4,141.3,146.6,129.2,130.8,135,121.3,10.5,11.6,7.9
５人以上,E 製造業,令和２,2020,2月,18.4,18.8,17.6,151.2,157,138,140.3,144.8,130,10.9,12.2,8
５人以上,E 製造業,令和２,2020,3月,18.3,18.7,17.5,149.9,155.5,137.1,139.5,143.8,129.5,10.4,11.7,7.6
５人以上,E 製造業,令和２,2020,4月,19.2,19.6,18.3,155,160.5,142,145.7,150.2,135,9.3,10.3,7
５人以上,E 製造業,令和２,2020,5月,16.4,16.8,15.6,133,137.5,122.1,125.3,129.5,115.2,7.7,8,6.9
５人以上,E 製造業,令和２,2020,6月,19,19.3,18.2,153,158.1,141,143.9,148.6,132.9,9.1,9.5,8.1
５人以上,E 製造業,令和２,2020,7月,19.8,20.1,19,159.3,164.5,146.8,150,154.5,139.1,9.3,10,7.7
