事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
30人以上,TL 調査産業計,平成27,2015,年平均,18.3,18.8,17.4,147.7,158.3,130.8,134.2,141.7,122.2,13.5,16.6,8.6
30人以上,TL 調査産業計,平成28,2016,年平均,18.3,18.8,17.4,146.6,157.2,130,133.9,141.6,121.7,12.7,15.6,8.3
30人以上,TL 調査産業計,平成29,2017,年平均,18.3,18.9,17.4,146.7,157.4,130.3,134.3,142.1,122.3,12.4,15.3,8
30人以上,TL 調査産業計,平成30,2018,年平均,18.3,18.9,17.3,146.5,156.7,131.2,134.2,141.8,122.9,12.3,14.9,8.3
30人以上,TL 調査産業計,平成31・令和元,2019,年平均,17.7,18.4,16.8,143.2,153.6,127.7,130.2,137.7,119,13,15.9,8.7
30人以上,TL 調査産業計,令和２,2020,年平均,17.4,18.1,16.5,139.7,149.8,124.5,127.8,135.3,116.6,11.9,14.5,7.9
30人以上,TL 調査産業計,令和２,2020,1月,17,17.5,16.2,136.4,145.8,122.2,123.9,130.5,113.9,12.5,15.3,8.3
30人以上,TL 調査産業計,令和２,2020,2月,16.9,17.5,16,135.8,145.6,120.9,123.1,130,112.6,12.7,15.6,8.3
30人以上,TL 調査産業計,令和２,2020,3月,17.4,18.1,16.4,140.1,150.4,124.4,127.4,134.9,116,12.7,15.5,8.4
30人以上,TL 調査産業計,令和２,2020,4月,17.8,18.6,16.6,142,152.8,125.6,130.6,138.9,118,11.4,13.9,7.6
30人以上,TL 調査産業計,令和２,2020,5月,15.9,16.6,14.8,126.2,135.1,112.4,116.6,123.6,105.8,9.6,11.5,6.6
30人以上,TL 調査産業計,令和２,2020,6月,17.9,18.7,16.8,142.2,153,126.1,131.4,139.8,119,10.8,13.2,7.1
30人以上,TL 調査産業計,令和２,2020,7月,18.5,19.2,17.4,147.2,158.2,130.7,135.3,143.5,122.9,11.9,14.7,7.8
30人以上,TL 調査産業計,令和２,2020,8月,16.8,17.3,15.9,134.3,143.6,120.3,123,129.8,112.8,11.3,13.8,7.5
30人以上,TL 調査産業計,令和２,2020,9月,17.3,17.9,16.4,138.5,148.1,124.3,126.9,133.8,116.7,11.6,14.3,7.6
30人以上,TL 調査産業計,令和２,2020,10月,18.5,19.2,17.4,148.3,158.9,132.5,135.6,143.3,124.1,12.7,15.6,8.4
30人以上,TL 調査産業計,令和２,2020,11月,17.8,18.4,16.8,143.2,153.7,127.4,130.6,138.3,119,12.6,15.4,8.4
30人以上,TL 調査産業計,令和２,2020,12月,17.6,18.3,16.7,141.8,152.1,126.7,129.2,136.7,118.2,12.6,15.4,8.5
30人以上,"C 鉱業,採石業,砂利採取業",平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,18.8,18.9,18.3,154.7,158.9,142.9,135.1,136.9,130,19.6,22,12.9
30人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,18.6,18.7,18.2,154.6,157.9,143.5,136,137.5,130.9,18.6,20.4,12.6
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,18.9,19,18.5,156.7,159.1,148.7,136.9,137.8,134,19.8,21.3,14.7
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,1月,17.9,18,17.4,146.9,149.5,138.8,128,129.3,124,18.9,20.2,14.8
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,2月,16.8,17,16.4,140.8,144,130.6,122.5,124.3,116.8,18.3,19.7,13.8
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,3月,19.6,19.5,19.6,160,161.4,155.9,141,141.2,140.6,19,20.2,15.3
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,4月,20.1,20,20.4,166.6,167.4,164,146.7,146.4,147.7,19.9,21,16.3
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,5月,17.5,17.7,16.7,144.9,147.8,134.5,127.2,128.8,121.3,17.7,19,13.2
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,6月,20.8,20.9,20.7,170.5,172.3,164.4,151.5,151.9,150,19,20.4,14.4
