水の種類１,水の種類２,飲料水調理用水,手洗い／洗顔／歯磨き／食器洗浄用,浴用水／洗濯用水,トイレ洗浄用
水道水,直結給水,○,○,○,○
水道水,貯水槽水道,○,○,利用は可能であるが、上水道の復旧までの間は極力利用を控える。,利用は可能であるが、上水道の復旧までの間は極力利用を控える。
水道水,給水車,○,○,利用は可能であるが、上水道の復旧までの間は極力利用を控える。,利用は可能であるが、上水道の復旧までの間は極力利用を控える。
水道水,給水拠点,○,○,利用は可能であるが、上水道の復旧までの間は極力利用を控える。,利用は可能であるが、上水道の復旧までの間は極力利用を控える。
ペットボトル等飲料水,,○,○,利用は可能であるが、上水道の復旧までの間は極力利用を控える。,利用は可能であるが、上水道の復旧までの間は極力利用を控える。
井戸水,,△,△,△,○
雨水,,×,×,△,○
河川水,,×,×,△,○
プール水,,×,×,△,○
地域再生水,雑用水,×,×,×,○
個別再生水,雑用水,×,×,×,○
雨水処理水,雑用水,×,×,×,○
