"区分","統括参事[人]","参事[人]","統括課長[人]","副参事[人]","課長補佐[人]","係長[人]","主査[人]","主任[人]","係員[人]","校・園長[人]","副校・園長[人]","主幹教諭[人]","主任教諭[人]","教諭[人]","計[人]"
"職別現員合計(1)＋(2)","0","19","21","52","81","297","119","716","704","14","4","4","17","25","2073"
"定数外 自治法上派遣","0","1","0","2","0","4","0","7","2","0","1","0","0","0","17"
"定数外 休職､結核休養","0","0","0","0","0","1","0","14","22","0","0","0","0","0","37"
"定数外 育休､公務災害","0","0","0","0","0","1","1","22","51","0","0","0","4","6","85"
"定数外 派遣法による派遣","0","0","0","2","0","5","0","2","0","0","0","0","0","0","9"
"定数外 派遣交流","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"定数外 配偶者同行休業","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"定数外 計","0","1","0","4","0","11","1","46","75","0","1","0","4","6","149"

"令和5年度港区行政資料集　職員数総括表","Ver202304",,,,,,,,,,,,,,
