"科目","金額[百万円]"
"年度","2020"
"決算日","20210331"
"資産の部 固定資産","3517096"
"資産の部 固定資産 有形固定資産","3373025"
"資産の部 固定資産 有形固定資産 事業用資産","632421"
"資産の部 固定資産 有形固定資産 事業用資産 土地","426789"
"資産の部 固定資産 有形固定資産 事業用資産 立木竹","-"
"資産の部 固定資産 有形固定資産 事業用資産 建物","343396"
"資産の部 固定資産 有形固定資産 事業用資産 建物減価償却累計額","-150857"
"資産の部 固定資産 有形固定資産 事業用資産 工作物","8479"
"資産の部 固定資産 有形固定資産 事業用資産 工作物減価償却累計額","-5113"
"資産の部 固定資産 有形固定資産 事業用資産 船舶","-"
"資産の部 固定資産 有形固定資産 事業用資産 船舶減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 建設仮勘定","9727"
"資産の部 固定資産 有形固定資産 インフラ資産","2739015"
"資産の部 固定資産 有形固定資産 インフラ資産 土地","2633930"
"資産の部 固定資産 有形固定資産 インフラ資産 建物","1551"
"資産の部 固定資産 有形固定資産 インフラ資産 建物減価償却累計額","-761"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物","119503"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物減価償却累計額","-15207"
"資産の部 固定資産 有形固定資産 インフラ資産 その他","-"
"資産の部 固定資産 有形固定資産 インフラ資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 インフラ資産 建設仮勘定","-"
"資産の部 固定資産 有形固定資産 物品","3854"
"資産の部 固定資産 有形固定資産 物品減価償却累計額","-2266"
"資産の部 固定資産 無形固定資産","3767"
"資産の部 固定資産 無形固定資産 ソフトウェア","3756"
"資産の部 固定資産 無形固定資産 その他","10"
"資産の部 固定資産 投資その他の資産","140305"
"資産の部 固定資産 投資その他の資産 投資及び出資金","852"
"資産の部 固定資産 投資その他の資産 投資及び出資金 有価証券","293"
"資産の部 固定資産 投資その他の資産 投資及び出資金 出資金","559"
"資産の部 固定資産 投資その他の資産 投資及び出資金 その他","-"
"資産の部 固定資産 投資その他の資産 投資損失引当金","-"
"資産の部 固定資産 投資その他の資産 長期延滞債権","1985"
"資産の部 固定資産 投資その他の資産 長期貸付金","669"
"資産の部 固定資産 投資その他の資産 基金","136944"
"資産の部 固定資産 投資その他の資産 基金 減債基金","-"
"資産の部 固定資産 投資その他の資産 基金 その他","136944"
"資産の部 固定資産 投資その他の資産 その他","-"
"資産の部 固定資産 投資その他の資産 徴収不能引当金","-144"
"資産の部 流動資産","75412"
"資産の部 流動資産 現金預金","21030"
"資産の部 流動資産 未収金","1304"
"資産の部 流動資産 短期貸付金","482"
"資産の部 流動資産 基金","52604"
"資産の部 流動資産 基金 財政調整基金","52604"
"資産の部 流動資産 基金 減債基金","-"
"資産の部 流動資産 棚卸資産","-"
"資産の部 流動資産 その他","-"
"資産の部 流動資産 徴収不能引当金","-7"
"資産の部 資産合計","3592508"
"負債の部 固定負債","15588"
"負債の部 固定負債 地方債","172"
"負債の部 固定負債 長期未払金","2367"
"負債の部 固定負債 退職手当引当金","13049"
"負債の部 固定負債 損失補償等引当金","-"
"負債の部 固定負債 その他","-"
"負債の部 流動負債","9147"
"負債の部 流動負債 1年内償還予定地方債","153"
"負債の部 流動負債 未払金","220"
"負債の部 流動負債 未払費用","-"
"負債の部 流動負債 前受金","-"
"負債の部 流動負債 前受収益","-"
"負債の部 流動負債 賞与等引当金","1031"
"負債の部 流動負債 預り金","7742"
"負債の部 流動負債 その他","-"
"負債の部 負債合計","24735"
"純資産の部 固定資産等形成分","3570182"
"純資産の部 余剰分（不足分）","-2409"
"純資産の部 純資産合計","3567773"
"負債及び純資産合計","3592508"

"一般会計財務書類（貸借対照表）(令和3年3月31日現在)","Ver202103"
