年,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
総入園者数,523881,537972,529981,485276,444302,346587,302474,278381,242414,240586,278668,291517,446160,550412,624086,614158,650020,681815,621194,646958,648074,636030,578206,643068,590234,668344,738003
外国人数(人),,,,,,,,,,,,,,,,,,,,,,,,74480,90850,107507,137814
外国人割合(％),,,,,,,,,,,,,,,,,,,,,,,,11.7,15.5,16.2,18.7
