都市規模,心の豊かさやゆとりのある生活(％),物質的な面で生活を豊かにする(％),どちらともいえない(％),わからない(％)
町村,55.9,32.5,10.1,1.5
小都市,60.0,31.2,7.2,1.6
中都市,59.3,31.9,7.3,1.4
政令指定都市,64.0,30.0,5.6,0.5
東京都区部,61.3,29.9,8.2,0.6
