都市,総合スコア
ロンドン,1511.5
ニューヨーク,1384.7
東京,1338.5
パリ,1289.7
シンガポール,1197.0
ソウル,1133.3
香港,1098.5
アムステルダム,1085.8
ベルリン,1080.8
ウィーン,1053.0
