"年月[西暦]","調査項目","設問","事業所の従業者数","選択肢A[件]","選択肢B[件]","選択肢C[件]","選択肢D[件]","選択肢E[件]","選択肢F[件]","選択肢G[件]","選択肢A[%]","選択肢B[%]","選択肢C[%]","選択肢D[%]","選択肢E[%]","選択肢F[%]","選択肢G[%]"
"202003","環境に関する取組","Q7. 貴組織において環境に配慮した取組を進めるために、今後、区にどのような支援を期待しますか。（○はいくつでも）","1～4人","14","1","10","2","2","7","2","45.2","3.2","32.3","6.5","6.5","22.6","6.5"
"202003","環境に関する取組","Q7. 貴組織において環境に配慮した取組を進めるために、今後、区にどのような支援を期待しますか。（○はいくつでも）","5～9人","14","1","11","3","1","4","1","56.0","4.0","44.0","12.0","4.0","16.0","4.0"
"202003","環境に関する取組","Q7. 貴組織において環境に配慮した取組を進めるために、今後、区にどのような支援を期待しますか。（○はいくつでも）","10～19人","7","1","4","1","2","2","0","63.6","9.1","36.4","9.1","18.2","18.2","0.0"
"202003","環境に関する取組","Q7. 貴組織において環境に配慮した取組を進めるために、今後、区にどのような支援を期待しますか。（○はいくつでも）","20～49人","6","1","1","2","1","2","0","60.0","10.0","10.0","20.0","10.0","20.0","0.0"
"202003","環境に関する取組","Q7. 貴組織において環境に配慮した取組を進めるために、今後、区にどのような支援を期待しますか。（○はいくつでも）","50～99人","4","1","6","2","1","2","0","40.0","10.0","60.0","20.0","10.0","20.0","0.0"
"202003","環境に関する取組","Q7. 貴組織において環境に配慮した取組を進めるために、今後、区にどのような支援を期待しますか。（○はいくつでも）","100～299人","2","3","5","2","3","4","0","16.7","25.0","41.7","16.7","25.0","33.3","0.0"
"202003","環境に関する取組","Q7. 貴組織において環境に配慮した取組を進めるために、今後、区にどのような支援を期待しますか。（○はいくつでも）","300人以上","22","3","10","4","8","0","0","78.6","10.7","35.7","14.3","28.6","0.0","0.0"
"202003","環境に関する取組","Q7. 貴組織において環境に配慮した取組を進めるために、今後、区にどのような支援を期待しますか。（○はいくつでも）","無回答","0","0","0","0","0","2","0","0.0","0.0","0.0","0.0","0.0","100.0","0.0"

"港区の環境に関する事業者アンケート調査結果・クロス集計表・環境に関する取組Q7","Ver202003",,,,,,,,,,,,,,,,
