"年度","東京工業大学附属科学技術 学級数","東京工業大学附属科学技術 生徒数[人]","都立三田 学級数","都立三田 生徒数[人]","都立芝商業 学級数","都立芝商業 生徒数[人]","都立六本木 定時制 学級数","都立六本木 定時制 生徒数[人]","麻布 学級数","麻布 生徒数[人]","慶応義塾女子 学級数","慶応義塾女子 生徒数[人]","芝 学級数","芝 生徒数[人]","頌栄女子学院 学級数","頌栄女子学院 生徒数[人]","聖心女子学院 学級数","聖心女子学院 生徒数[人]","正則 学級数","正則 生徒数[人]","高輪 学級数","高輪 生徒数[人]","東海大学付属高輪台 学級数","東海大学付属高輪台 生徒数[人]","東京女子学園 学級数","東京女子学園 生徒数[人]","東洋英和女学院 学級数","東洋英和女学院 生徒数[人]","広尾学園 学級数","広尾学園 生徒数[人]","普連土学園 学級数","普連土学園 生徒数[人]","明治学院 学級数","明治学院 生徒数[人]","山脇学園 学級数","山脇学園 生徒数[人]","合計 学級数","合計 生徒数[人]"
"2017","15","578","23","913","18","625","20","528","21","918","15","622","23","851","15","668","9","343","23","812","18","665","30","1391","10","276","15","551","24","850","9","392","23","993","18","722","329","12698"
"2018","15","591","23","914","18","612","21","526","21","922","15","626","23","862","15","658","9","345","25","940","18","676","30","1403","10","255","15","560","25","918","9","390","22","995","18","713","332","12906"
"2019","15","582","22","870","18","609","22","552","21","919","15","620","23","865","15","648","9","331","26","981","18","670","30","1393","10","231","15","553","25","906","9","381","23","952","20","728","336","12791"
"2020","15","582","21","836","18","594","32","579","21","918","15","611","23","863","15","633","9","336","25","914","18","664","30","1455","8","154","15","547","25","874","9","380","24","946","21","756","344","12642"
"2021","15","566","21","834","17","556","24","589","21","901","16","615","23","855","15","648","9","320","21","703","18","668","30","1501","7","137","15","555","24","824","9","371","24","929","21","796","330","12368"

"令和3年度港区行政資料集　高等学校生徒数","Ver202105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
