"年月[西暦]","施設名称","施設所在地","施設方書","施設廃止日","緯度","経度"
"202204","こきゅう南青山プレミアム接骨院","東京都港区南青山三丁目16番14号","プラサーダ青山402","2022/3/31","35.664402","139.714659"
"202205","リライフ整骨院","東京都港区西新橋一丁目15番7号","曽根ビル3階","2022/4/30","35.667938","139.754377"
"202206","南青山ＰＩＣＳ整骨院","東京都港区南青山三丁目8番7号","ラ・トゥール南青山301号","2022/5/31","35.667176","139.715851"
"202210","ｉＣｕｒｅ接骨院　溜池山王","東京都港区赤坂二丁目10番16号","新陽ビル2階","2022/9/30","35.670661","139.741512"
"202210","ｉＣｕｒｅ接骨院　虎ノ門","東京都港区西新橋一丁目12番6号","白井ビル1階","2022/9/30","35.668298","139.753329"
"202211","ととのい整骨院","東京都港区赤坂二丁目17番46号","グローヴビルB1","2022/6/1","35.669498","139.738658"
"202211","一会堂整骨院","東京都港区芝五丁目13番12号","第2定方ビル1F","2022/11/26","35.648953","139.744985"
"202211","ｉＣｕｒｅ接骨院　虎ノ門","東京都港区西新橋一丁目12番6号","白井ビル1階","2022/10/31","35.668298","139.753329"
"202212","ｉＣｕｒｅ接骨院　六本木","東京都港区六本木四丁目9番5号","ISO六本木ビル2階","2022/11/30","35.663614","139.732531"
"202301","Ａｚａｂｕ整骨院","東京都港区麻布十番二丁目19番1号","オフィスエイトビル4階","2023/1/26","35.655065","139.736054"
"202301","汐留ベイブリーズ整骨院","東京都港区東新橋一丁目2番10号","京店ビル3階","2005/8/31","35.664557","139.759287"
"202301","青木整骨指圧療院","東京都港区南青山一丁目15番31号",,"2023/1/6","35.668923","139.726029"
"202302","美ノ源接骨院東京","東京都港区高輪三丁目25番27号","512","2023/1/31","35.631074","139.737800"
"202302","あすも整骨院","東京都港区高輪四丁目21番1号","101","2023/2/4","35.626672","139.735329"
"202303","ｉＣｕｒｅ接骨院　溜池山王","東京都港区赤坂二丁目10番16号","新陽ビル2階","2023/3/12","35.670661","139.741512"
"202303","整骨院おおた","東京都港区南青山二丁目15番19号","フジハイツ1階B号","2023/2/28","35.669294","139.720679"
"202303","Ｍ・Ｓ整骨院","東京都港区六本木三丁目2番1号","住友不動産グランドタワー26階","2023/3/7","35.664718","139.737760"
"202303","六本木ミッドタウン前整骨院","東京都港区六本木七丁目13番2号","アーバンビル502","2023/3/30","35.664279","139.730835"

"施術所（柔整）廃止一覧(令和5年3月31日現在)","Ver202303",,,,,
