種別,数量(トン),比率(%),金額(百万円),比率(%),一日当たりの取扱高／数量(トン),一日当たりの取扱高／金額(百万円)
総数,262015,100.0,90862,100,989,343
総数／野菜,189996,72.5,59869,65.9,717,226
総数／果実,56271,21.5,23825,26.2,212,90
総数／つけ物,8081,3.1,5226,5.8,30,20
総数／その他食料品,2682,1.0,581,0.6,10,2
総数／鳥卵,4984,1.9,1362,1.5,19,5

