市場名,一般廃棄物（魚腸骨除く）（t）,魚腸骨（t）,木製パレット（t）,発泡（t）,産業廃棄物（木製パレット、発泡を除く）（t）,合計（t）,割合(%)
築地,8922,5707,1749,1975,4360,22713,55.1
大田,8408,466,2342,272,423,11911,28.9
豊島,326,,4,7,25,362,0.8
淀橋,990,,102,17,52,1162,2.8
足立,152,360,12,142,144,810,2.0
板橋,564,,0,20,63,647,1.6
世田谷,521,,137,9,56,723,1.8
北足立,1281,,250,21,158,1711,4.2
多摩,147,,4,1,15,167,0.4
葛西,703,,98,10,198,1009,2.4
合計,22015,6533,4698,2474,5495,41215,100.0
