品目,順位,数量(トン),金額(百万円),,,,
冷まぐろ類,1,28127,41358,,,,
冷さけ・ます類,2,17303,14681,,,,
冷えび類,3,7828,12525,,,,
冷いか類,4,4433,3607,,,,
冷かれい類,5,2640,2364,,,,
冷かじき類,6,1755,1690,,,,
冷かに類,7,1638,5014,,,,
冷たい類,8,33,44,,,,
