区分,取扱頭数（頭）,割合(%),取扱金額（百万円）,割合(%)
和牛,76533,58.2,90323,73.7
交雑牛,40076,30.5,29241,23.9
乳用牛,15001,11.4,2912,2.4
合計,131610,100,122476,100
