区分,費用（億円）
事業費（計）,3926
事業費／建設費,990
事業費／土壌汚染対策費,586
事業費／基盤整備費,370
事業費／用地費,1980
財源（計）,3926
財源／不足額（補てん財源）,-1446
財源／国庫交付金,100
財源／保有資産,1350
財源／すでに整備に充てた,1030
財源／すでに整備に充てた内訳／建設費,0
財源／すでに整備に充てた内訳／土壌汚染対策費,10
財源／すでに整備に充てた内訳／基盤整備費,300
財源／すでに整備に充てた内訳／用地費,720
