市場名,事業内容（平成28年度～32年度）,工期等（目途）
築地市場,老朽化施設の調査及び補修等工事,平成28年度～
食肉市場,ＨＡＣＣＰ導入に向けた施設整備,平成28年度～
食肉市場,ＬＥＤ照明設置工事,平成30年度～32年度
大田市場,第３荷捌場建替工事,平成28年度～30年度
大田市場,冷蔵・冷凍設備更新工事,平成29年度～31年度
大田市場,ＬＥＤ照明設置工事,平成28年度～31年度
豊島市場,ＬＥＤ照明設置工事,平成30年度～31年度
淀橋市場,冷蔵・冷凍設備更新工事,平成32年度
淀橋市場,ＬＥＤ照明設置工事,平成28年度～29年度
足立市場,冷蔵・冷凍設備更新工事,平成32年度
足立市場,ＬＥＤ照明設置工事,平成32年度
板橋市場,冷蔵・冷凍設備更新工事,平成29年度
世田谷市場,冷蔵・冷凍設備更新工事,平成29年度～32年度
世田谷市場,ＬＥＤ照明設置工事,平成29年度～32年度
北足立市場,冷蔵・冷凍設備更新工事,平成31年度～32年度
多摩ニュータウン市場,卸売場屋根改修工事,平成29年度～30年度
多摩ニュータウン市場,冷蔵・冷凍設備更新工事,平成29年度
葛西市場,冷蔵・冷凍設備更新工事,平成29年度～32年度
葛西市場,垂直搬送機設備改修工事（花き部）,平成29年度～30年度
葛西市場,ＬＥＤ照明設置工事,平成28年度～30年度
