区分,大田構成比(%),築地構成比(%),淀橋構成比(%),北足立構成比(%),葛西構成比(%),板橋構成比(%),豊島構成比(%),世田谷構成比(%),多摩ＮＴ構成比(%)
所在区・地域内,4.3,6.8,16.0,13.2,29.8,9.2,14.2,22.8,13.1
隣接区・地域・県,28.6,16.3,16.7,32.7,49.9,61.9,31.0,47.1,54.2
その他（より広域）,67.1,76.8,67.4,54.1,20.2,28.9,54.8,30.0,32.7
