区分,取扱量（トン）,比率(%)
主要野菜輸入数量と比率,67093,4.3
かぼちゃ,16564,43.4
たまねぎ,8228,6.4
にんじん,5360,6.3
ねぎ,5237,9.1
ブロッコリー,4288,19.7
根しょうが,3490,51.6
にんにく,3473,64.4
なましいたけ,2475,28.7
ジャンボピーマン,2336,67.6
主要果物輸入数量と比率,90740,17.4
バナナ,61167,100.0
グレープフルーツ,9502,100.0
パインアツプル,4969,98.7
レモン,4607,87.8
バレンシアオレンジ,2798,99.9
キーウイ,2096,34.9
