格付,格付頭数（頭）,比率(%)
A-5,26432,36.5
A-4,28675,39.5
A-3,13240,18.3
A-2,4157,5.7
A-1,9,0.0
A小計,72513,100.0
B-5,363,0.9
B-4,5222,13.5
B-3,14468,37.3
B-2,18503,47.7
B-1,205,0.5
B小計,38760,100.0
C-5,3,0.0
C-4,351,1.7
C-3,2098,10.3
C-2,8588,42.2
C-1,9298,45.7
C小計,20338,100.0
肉質等級5の合計,26798,-
肉質等級4の合計,34248,-
肉質等級3の合計,29806,-
肉質等級2の合計,31247,-
肉質等級1の合計,9512,-
総計,131610,-
