業務の種類,業者数,関連棟,事務棟,花き棟,荷捌棟,青果棟,水産棟,その他
流通保管業務,8,,4,,4,,,
物販・飲食業務,70,56,4,8,,,1,1
加工・サービス業務,6,2,3,,,,,1
計,84,58,11,8,4,,1,2
