区分,排水量／5街区(m3),排水量／6街区(m3),排水量／7街区(m3),排水量／合計(m3),備考,（参考）地下ピットに設置した釜場（A.P.+1.5m）からの排水量／5街区(m3),（参考）地下ピットに設置した釜場（A.P.+1.5m）からの排水量／6街区(m3),（参考）地下ピットに設置した釜場（A.P.+1.5m）からの排水量／7街区(m3),（参考）地下ピットに設置した釜場（A.P.+1.5m）からの排水量／合計(m3),
2016-08-01／月,,,,,,,,,,
2016-08-02／火,,,,,,,,,,
2016-08-03／水,,,,,,,,,,
2016-08-04／木,,,,,,,,,,
2016-08-05／金,,,,,,,,,,
2016-08-06／土,,,,,,,,,,
2016-08-07／日,,,,,,,,,,
2016-08-08／月,105.2,,,105.2,,,,,,
2016-08-09／火,123.9,,,123.9,,,,,,
2016-08-10／水,0,,,0,,,,,,
2016-08-11／木,0,,,0,,,,,,
2016-08-12／金,0,,,0,,,,,,
2016-08-13／土,0,,,0,,,,,,
2016-08-14／日,0,,,0,,,,,,
2016-08-15／月,0,,,0,,,,,,
2016-08-16／火,0,,,0,,,,,,
2016-08-17／水,0,,,0,,,,,,
2016-08-18／木,0,,,0,,,,,,
2016-08-19／金,0,,,0,,,,,,
2016-08-20／土,0,,,0,,,,,,
2016-08-21／日,0,,,0,,,,,,
2016-08-22／月,0,,,0,,,,,,
2016-08-23／火,0,,,0,,,,,,
2016-08-24／水,0,,,0,,,,,,
2016-08-25／木,3.4,,,3.4,,,,,,
2016-08-26／金,94.6,,,94.6,,,,,,
2016-08-27／土,68,,,68,,,,,,
2016-08-28／日,0,,,0,,,,,,
2016-08-29／月,80,,,80,,,,,,
2016-08-30／火,82,,,82,,,,,,
2016-08-31／水,64,,,64,,,,,,
2016-09-01／木,68,,,68,,,,,,
2016-09-02／金,67,,,67,,,,,,
2016-09-03／土,0,,,0,,,,,,
2016-09-04／日,0,,,0,,,,,,
2016-09-05／月,67,,,67,,,,,,
2016-09-06／火,107,,,107,,,,,,
2016-09-07／水,72,,,72,,,,,,
2016-09-08／木,66,,,66,,,,,,
2016-09-09／金,99,,,99,,,,,,
2016-09-10／土,0,,,0,,,,,,
2016-09-11／日,0,,,0,,,,,,
2016-09-12／月,40,139.1,127.3,306.4,,,,,,
2016-09-13／火,37,97,10,144,,,,,,
2016-09-14／水,129,128,20,277,,,,,,
2016-09-15／木,68,0.8,29.9,98.7,,,,,,
2016-09-16／金,133,100.3,42.9,276.2,,,,,,
2016-09-17／土,0,97.8,49.9,147.7,,,,,,
2016-09-18／日,0,0,0,0,,,,,,
2016-09-19／月,0,0,0,0,,,,,,
2016-09-20／火,48,58.8,39.9,146.7,,,,,,
2016-09-21／水,75.8,117.7,10.5,204,,,,,,
2016-09-22／木,0,0,0,0,,,,,,
2016-09-23／金,82.4,59.9,22.8,165.1,,,,,,
2016-09-24／土,116.1,0,61.7,177.8,,,,,,
2016-09-25／日,0,0,0,0,,,,,,
2016-09-26／月,0,19.2,23.6,42.8,,,,,,
2016-09-27／火,145.3,116.9,45.4,307.6,,,,,,
2016-09-28／水,183.9,92.9,59.3,336.1,,,,,,
2016-09-29／木,159.4,78.6,40,278,,,,,,
2016-09-30／金,145.3,51.2,49.8,246.3,,,,,,
2016-10-01／土,156.4,7.9,79.8,244.1,,,,,,
2016-10-02／日,,,,,,,,,,
2016-10-03／月,,,,,,,,,,
小計,76.8,89.6,39.8,206.2,,,,,,
2016-10-04／火,9.9,88.3,49.8,148,,,,,,
2016-10-05／水,151.9,108.1,69.7,329.7,,,,,,
2016-10-06／木,186.7,98.2,89.7,374.6,,,,,,
2016-10-07／金,157.3,157,0,314.3,,,,,,
2016-10-08／土,,,89.6,,,,,,,
2016-10-09／日,,,,,,,,,,
2016-10-10／月,,,,,,,,,,
2016-10-11／火,,,,,,,,,,
小計,561.3,327.9,249,1227.8,,,,,,
2016-10-12／水,118.1,167.3,69.7,355.1,,,,,,
2016-10-13／木,130.7,145,122.9,398.6,,,,,,
2016-10-14／金,114.3,109.3,99.1,322.7,,,,,,
2016-10-15／土,,,,,,,,,,
2016-10-16／日,,,,,,,,,,
2016-10-17／月,,,,,,,,,,
小計,291.3,393.3,172.2,856.8,,,,,,
2016-10-18／火,,,29.6,,,,,,,
2016-10-19／水,,,0,,,,,,,
2016-10-20／木,,,103.5,,,,,,,
小計,280.1,338.1,,751.3,,,,,,
2016-10-21／金,123.2,24.4,103.5,251.1,,,,,,
2016-10-22／土,,,,,,,,,,
2016-10-23／日,,,,,,,,,,
2016-10-24／月,,,,,,,,,,
小計,307.5,203.9,73.9,585.3,,,,,,
2016-10-25／火,101,58.3,0,159.3,,,,,,
2016-10-26／水,101.4,46.5,90.9,238.8,,,,,,
2016-10-27／木,100.9,43.8,79.2,223.9,,,,,,
2016-10-28／金,86.4,14.6,68.5,169.5,,,,,,
2016-10-29／土,,,,,,,,,,
2016-10-30／日,,,,,,,,,,
2016-10-31／月,,,,,,,,,,
小計,101.8,145.9,206.9,454.6,,,,,,
2016-11-01／火,86.4,58.3,65.2,209.9,,,,,,
2016-11-02／水,86.4,14.6,67.4,168.4,,,,,,
2016-11-03／木,,,,,,,,,,
2016-11-04／金,,,,,,,,,,
小計,173.4,262.6,118.6,554.6,,,,,,
2016-11-05／土,,,,,,,,,,
2016-11-06／日,,,,,,,,,,
2016-11-07／月,,,,,,,,,,
小計,238.2,160.4,177.2,575.8,,,,,,
2016-11-08／火,79.3,134.7,44,258,,,,,,
2016-11-09／水,64.7,89.6,54.6,208.9,,,,,,
2016-11-10／木,75.2,109.9,51.4,236.5,,,,,,
2016-11-11／金,100.3,130.7,64.3,295.3,,,,,,
2016-11-12／土,,,,,,,,,,
2016-11-13／日,,,,,,,,,,
2016-11-14／月,,,,,,,,,,
小計,288,,203.7,,,,,,,
2016-11-15／火,65.7,,66.2,,,,,,,
小計,,279,,902.6,,,,,,
2016-11-16／水,50.5,88.7,64.2,203.4,,,,,,
2016-11-17／木,50.3,57,64.2,171.5,,,,,,
2016-11-18／金,58.1,19,64.2,141.3,,,,,,
2016-11-19／土,,,,,,,,,,
2016-11-20／日,,,,,,,,,,
2016-11-21／月,,,,,,,,,,
小計,168.3,114.1,179.9,462.3,,,,,,
2016-11-22／火,51.1,38,64.3,153.4,,,,,,
2016-11-23／水,,,,,,,,,,
2016-11-24／木,,,,,,,,,,
小計,106.4,111.5,102.9,320.8,,,,,,
2016-11-25／金,62.4,2.6,64.3,129.3,,,,,,
