区分,取扱量（トン）,比率(%)
輸入主要21品目の輸入数量と比率,20012,3.2
鮮魚,-,-
鮮魚／さけ・ます,2872,
鮮魚／まぐろ,1827,
鮮魚／めばち,1744,
鮮魚／うに,993,
鮮魚／印度まぐろ,471,
鮮魚／いせえび,108,
鮮魚／,86,
鮮魚／くるまえび,24,
鮮魚／ひらめ,19,
鮮魚／さわら,13,
鮮魚／しまあじ,6,
鮮魚／まだい,3,
冷凍魚,-,-
冷凍魚／えび,10820,
冷凍魚／いせえび,102,
冷凍魚／するめいか,18,
