区分,24年('12)／総数（トン）,24年('12)／割合(%),25年('13)／総数（トン）,25年('13)／割合(%),26年('14)／総数（トン）,26年('14)／割合(%),27年('15)／総数（トン）,27年('15)／割合(%),28年('16)／総数（トン）,28年('16)／割合(%)
開市日数（日）,274,274,272,272,270,270,268,268,266,266
全市場総数,523547,-,514829,-,479424,-,463976,-,434290,-
築地総数,492934,100,483951,100,452415,100,436274,100,409867,100
築地総数／鮮魚,156982,31.8,155124,32.1,152693,33.8,151308,34.7,142798,34.8
築地総数／活魚,12465,2.5,11939,2.5,12499,2.8,12773,2.9,12728,3.1
築地総数／貝類,29175,5.9,28908,6,28473,6.3,28532,6.5,26530,6.5
築地総数／冷凍魚,121172,24.6,123.708,25.6,101893,22.5,91669,21,82922,20.2
築地総数／淡水魚,1352,0.3,1397,0.3,1275,0.3,1353,0.3,1313,0.3
築地総数／海藻類,6973,1.4,6925,1.4,6466,1.4,6596,1.5,7596,1.9
築地総数／加工品,164815,33.4,155950,32.2,149116,33,144043,33,135979,33.2
築地総数／一日平均取扱高,1799,-,1779,-,1676,-,1628,-,1541,-
築地総数／全市場比(%),-,94.2,-,94,-,94.4,-,94,-,94.4
築地総数／平成24年比(%),-,100,-,98.2,-,91.8,-,88.5,-,83.1
