区分,電動車(%),低排出ガス車(%),LPG(%),ガソリン(%),ディーゼル(%)
築地市場,87.8,5.5,,,
食肉市場,54.5,4.5,,,
大田市場,59.5,35.7,,,
豊島市場,98.3,0.0,,,
淀橋市場,57.3,38.7,,,
足立市場,94.7,3.0,,,
板橋市場,82.7,0.8,,,
世田谷市場,88.9,0.0,,,
北足立市場,80.4,14.7,,,
多摩NT市場,66.7,0.0,,,
葛西市場,76.0,7.4,,,
全市場計,75.4,18.0,2.1,4.4,0.2
