区分,水産,青果,花き,合計（トン）
一般廃棄物（魚腸骨除く）（トン）,7944,12823,1248,22015
魚腸骨（トン）,6533,0,0,6533
木製パレット（トン）,1761,2937,0,4698
発泡廃棄物（トン）,2389,85,0,2474
産業廃棄物（木製パレット、発泡除く）（トン）,4047,1113,335,5495
