区分,17年度,18年度,19年度,20年度,21年度,22年度,23年度,24年度,25年度,26年度
営業利益率(%),0.65,0.69,0.56,0.23,0.33,0.31,0.54,0.56,0.72,0.57
経常利益率(%),0.91,0.98,0.79,0.44,0.54,0.42,0.69,0.72,0.87,0.75
