区分,取扱量（単位）,取扱金額（千円）
総取扱数量及び金額,-,96253617
切花,1026931（千本）,62019881
切葉,85913（千枚）,2611511
鉢物,48491（千鉢）,21442264
切枝,29568（千束）,4749383
その他,4402（千箱）,5430578
