平成（年度）,卸売市場経由率／青果物(%),卸売市場経由率／水産物(%),卸売市場経由率／食肉(%),卸売市場経由率／花き(%)
元,82.7,74.6,23.5,83.0
2,-,-,-,-
3,-,-,-,-
4,-,-,-,-
5,-,-,-,-
6,-,-,-,-
7,-,-,-,-
8,-,-,-,-
9,-,-,-,-
10,-,-,-,-
11,-,-,-,-
12,-,-,-,-
13,-,-,-,-
14,-,-,-,-
15,-,-,-,-
16,-,-,-,-
17,-,-,-,-
18,-,-,-,-
19,-,-,-,-
20,-,-,-,-
21,-,-,-,-
22,-,-,-,-
23,-,-,-,-
24,-,-,-,-
25,60.0,54.1,9.8,78.0
