区分,面積(m2)
卸売業者売場,36456
卸売業者売場／水産関係,23256（うち低温卸売場8222m2）
卸売業者売場／青果関係,13200（うち低温卸売場7345m2）
仲卸業者売場,15192
仲卸業者売場／水産関係,11880
仲卸業者売場／青果関係,3312
関連事業者営業所,3452
買荷保管所,6323
事務室,32119
冷蔵庫,12520
その他,116549
