区分,24年('12)／総数（トン）,24年('12)／割合(%),25年('13／総数（トン）,25年('13／割合(%),26年('14)／総数（トン）,26年('14)／割合(%),27年('15)／総数（トン）,27年('15)／割合(%),28年('16)／総数（トン）,28年('16)／割合(%)
開市日数（日）,272,272,268,268,267,267,266,266,265,265
全市場総数,2091021,-,2074745,-,2077339,-,2035703,-,1993439,-
築地総数,316283,100,305943,100,292462,100,271657,100,262015,100
築地総数／野菜　,233386,73.8,227818,74.5,214600,73.4,197287,72.6,189996,72.5
築地総数／果実　,65773,20.8,61138,20,63229,21.6,59338,21.8,56271,21.5
築地総数／つけ物　,8102,2.6,7978,2.6,7384,2.5,7520,2.8,8081,3.1
築地総数／その他食料品　,4317,1.4,4323,1.4,2639,0.9,2702,1,2682,1
築地総数／鳥卵,4705,1.5,4686,1.5,4610,1.6,4810,1.8,4984,1.9
築地総数／一日平均取扱高,1163,-,1142,-,1095,-,1021,-,989,-
築地総数／全市場比,-,15.1,-,14.7,-,14.1,-,13.3,-,13.1
築地総数／平成24年比,-,100,-,96.7,-,92.5,-,85.9,-,82.8
