区分,野菜／地名,野菜／割合(%),野菜／数量(万トン),くだ物／地名,くだ物／割合(%),くだ物／数量(万トン)
1位,北海道,14.6,23,愛媛,11.0,5.8
2位,千葉,14.2,22,青森,9.8,5.2
3位,茨城,13.3,21,フィリピン,9.3,4.9
