区分,24年('12)／総数（トン）,24年('12)／割合(%),25年('13)／総数（トン）,25年('13)／割合(%),26年('14)／総数（トン）,26年('14)／割合(%),27年('15)／総数（トン）,27年('15)／割合(%),28年('16)／総数（トン）,28年('16)／割合(%)
開市日数（日）,272,272,268,268,267,267,266,266,265,265
全市場総数,524609,-,531670,-,541069,-,579275,-,599268,-
築地総数,86086,100,85643,100,86362,100,88956,100,90862,100
築地総数／野菜　,57833,67.2,57968,67.7,57292,66.3,58654,65.9,59869,65.9
築地総数／果実　,21896,25.4,21251,24.8,22532,26.1,23510,26.4,23825,26.2
築地総数／つけ物　,4569,4.4,4619,5.4,4656,5.4,4797,5.4,5226,5.8
築地総数／その他食料品　,694,0.8,640,0.7,583,0.7,597,0.7,581,0.6
築地総数／鳥卵,1095,1.3,1165,1.4,1299,1.5,1398,1.6,1362,1.5
築地総数／一日平均取扱高,316,-,320,-,323,-,334,-,342,-
築地総数／全市場比,-,16.4,-,16.1,-,16,-,15.4,-,15.2
築地総数／平成24年比,-,100,-,99.5,-,100.3,-,103.3,-,105.5
