品目,入荷数量（トン）／2017-01-05木曜（A）,入荷数量（トン）／2016-01-05火曜（B）,入荷数量（トン）／前年比A/B(%)
だいこん,112.6,107.4,104.8
キャベツ,94.2,171.7,54.9
レタス,114.6,71.4,160.5
はくさい,151.1,117,129.1
ねぎ,54.2,49.6,109.3
きゅうり,92.2,119.5,77.2
トマト,61.6,59.6,103.4
