名称,卸業者,仲卸業者,関連事業者／流通保管業務,関連事業者／物販・飲食業務,関連事業者／加工・サービス業務,関連事業者／合計,売買参加者
築地市場,水産7／青果3,水産641／青果103,20,115,21,156,水産293／青果653
食肉市場（と場を含む）,食肉1,食肉26,0,4,4,8,食肉170
大田市場,水産1／青果4／花き2,水産41／青果167／花き18,8,73,6,87,水産18／青果1226／花き1603
豊島市場,青果1,青果10,0,6,1,7,青果237
淀橋市場,青果1,青果15,0,5,2,7,青果602
足立市場,水産2,水産54,2,21,1,24,水産51
板橋市場,青果2／花き1,青果10／花き7,1,6,1,8,青果307／花き663
世田谷市場,青果1／花き2,青果9／花き6,0,9,2,11,青果253／花き1069
北足立市場,青果1／花き1,青果17／花き9,0,11,2,13,青果382／花き534
多摩ニュータウン市場,青果1,青果4,0,0,1,1,青果54
葛西市場,青果1／花き1,青果10／花き7,1,9,1,11,青果293／花き775
全市場計,水産10／青果15／食肉1／花き7,水産736／青果345／食肉26／花き47,32,259,42,333,水産362／青果4007／食肉170／花き4644
