品目,順位,数量(トン),金額(百万円),,,,
キャベツ類,1,25448,2537,,,,
たまねぎ,2,14913,1560,,,,
だいこん,3,14410,1503,,,,
にんじん,4,12033,1992,,,,
レタス類,5,11631,2643,,,,
はくさい,6,11053,919,,,,
トマト,7,9375,3859,,,,
ねぎ,8,8795,3082,,,,
きゅうり,9,8725,2973,,,,
ばれいしょ類,10,8589,1578,,,,
