区分,切花,鉢物,切葉,切り枝,その他,合計,1日当り,,
数量,519128（千本）,14803（千鉢）,38776（千枚）,10460（千束）,1941（千箱）,843058（千本）,2728（千本）,,
金額（100万円）,33274,8581,1360,3322,3224,49760,161,,
,,,,,,,,,
