品目,順位,数量(トン),金額(百万円),,,,
しらす干,1,8431,10195,,,,
揚物,2,6942,4126,,,,
塩さけ類,3,6387,5993,,,,
開干あじ,4,6301,3047,,,,
魚漬物,5,5313,3402,,,,
つくだ煮,6,4093,3648,,,,
開干ほっけ,7,2551,2097,,,,
かまぼこ,8,2306,2168,,,,
めんたいこ,9,2111,3088,,,,
煮たこ,10,2010,2973,,,,
