品目,入荷数量（トン）／2017-01-05木曜（A）,入荷数量（トン）／2016-01-05火曜（B）,入荷数量／前年比A/B(%)
みかん,85.1,40.3,211.2
りんご,29.3,19.8,148
いちご,70.8,68.6,103.2
アールスメロン,3.8,2.8,135.7
