日付,排水量／５街区／青果棟（m3）,排水量／６街区／水産仲卸売場棟／西（m3）,排水量／６街区／水産仲卸売場棟／東（m3）,排水量／６街区／水産仲卸売場棟／合計（m3）,排水量／６街区／加工パッケージ棟（m3）,排水量／６街区／６街区合計（m3）,排水量／７街区／水産卸売場棟（m3）,排水量／全街区合計（m3）
2016-12-13／（火）,380,318,460,778,204,982,602,1964
2016-12-14／（水）,375,430,527,957,217,1174,718,2267
2016-12-15／（木）,293,422,521,943,258,1201,715,2209
2016-12-16／（金）,293,370,699,1069,212,1281,716,2290
2016-12-17／（土）,,,,,,,716,716
2016-12-18／（日）,,,,,,,717,717
2016-12-19／（月）,393,508,690,1198,58,1256,718,2367
2016-12-20／（火）,395,707,702,1409,3,1412,710,2517
2016-12-21／（水）,268,709,709,1418,3,1421,690,2379
2016-12-22／（木）,187,216,359,575,14,589,153,929
2016-12-23／（金）,,,,,,,,
2016-12-24／（土）,,,,,,,,
2016-12-25／（日）,,,,,,,,
2016-12-26／（月）,56,603,510,1113,34,1147,113,1316
2016-12-27／（火）,121,66,63,129,107,236,118,475
2016-12-28／（水）,13,0,0,0,0,0,52,65
2016-12-29／（木）,,,,,,,,
2016-12-30／（金）,,,,,,,,
2016-12-31／（土）,,,,,,,,
2017-01-01／（日）,,,,,,,,
2017-01-02／（月）,,,,,,,,
2017-01-03／（火）,,,,,,,,
2017-01-04／（水）,0,390,87,477,119,596,118,714
2017-01-05／（木）,0,38,14,52,11,63,35,98
2017-01-06／（金）,0,108,169,277,3,280,149,429
2017-01-07／（土）,,,,,,,,
2017-01-08／（日）,,,,,,,,
2017-01-09／（月）,,,,,,,,
2017-01-10／（火）,31,36,33,69,0,69,8,108
2017-01-11／（水）,12,18,99,117,0,117,81,210
2017-01-12／（木）,14,22,68,90,77,167,34,215
2017-01-13／（金）,8,52,123,175,1,176,30,214
2017-01-14／（土）,,,,,,,,
2017-01-15／（日）,,,,,,,,
2017-01-16／（月）,5,81,43,124,2,126,61,192
2017-01-17／（火）,4,25,25,50,1,51,39,94
2017-01-18／（水）,,22,32,54,12,66,10,76
2017-01-19／（木）,,23,36,59,23,82,15,97
2017-01-20／（金）,26,151,,151,,151,25,202
2017-01-21／（土）,,,,,,,,
2017-01-22／（日）,,,,,,,,
2017-01-23／（月）,23,38,,38,3,41,18,82
2017-01-24／（火）,10,37,5,42,4,46,10,66
2017-01-25／（水）,7,31,4,35,3,38,10,55
2017-01-26／（木）,4,33,,33,4,37,4,45
2017-01-27／（金）,1,60,,60,14,74,12,87
2017-01-28／（土）,,,,,,,,
2017-01-29／（日）,,,,,,,,
2017-01-30／（月）,17,94,,94,6,100,35,152
2017-01-31／（火）,6,17,,17,4,21,10,37
2017-02-01／（水）,1,61,,61,2,63,0,64
2017-02-02／（木）,7,48,,48,,48,5,60
2017-02-03／（金）,1,4,,4,10,14,9,24
2017-02-04／（土）,,,,,,,,
2017-02-05／（日）,,,,,,,,
2017-02-06／（月）,15,124,,124,8,132,25,172
2017-02-07／（火）,2,22,,22,2,24,25,51
2017-02-08／（水）,2,4,49,53,3,56,21,79
2017-02-09／（木）,3,15,36,51,10,61,37,101
2017-02-10／（金）,4,28,33,61,,61,54,119
2017-02-11／（土）,,,,,,,,
2017-02-12／（日）,,,,,,,,
2017-02-13／（月）,4,2,87,89,17,106,32,142
2017-02-14／（火）,1,5,32,37,5,42,35,78
2017-02-15／（水）,1,8,30,38,,38,44,83
2017-02-16／（木）,3,5,10,15,1,16,34,53
2017-02-17／（金）,1,10,14,24,2,26,87,114
2017-02-18／（土）,,,,,,,,
2017-02-19／（日）,,,,,,,,
2017-02-20／（月）,1,41,84,125,9,134,79,214
2017-02-21／（火）,,7,14,21,1,22,65,87
2017-02-22／（水）,,5,13,18,2,20,81,101
2017-02-23／（木）,1,7,21,28,2,30,94,125
2017-02-24／（金）,,29,17,46,2,48,93,141
2017-02-25／（土）,,,,,,,,
2017-02-26／（日）,,,,,,,,
2017-02-27／（月）,,59,9,68,4,72,74,146
2017-02-28／（火）,2,4,12,16,1,17,42,61
2017-03-01／（水）,,8,28,36,15,51,52,103
2017-03-02／（木）,,13,30,43,18,61,64,125
2017-03-03／（金）,,10,22,32,5,37,52,89
2017-03-04／（土）,,,,,,,,
2017-03-05／（日）,,,,,,,,
2017-03-06／（月）,,26,55,81,10,91,56,147
2017-03-07／（火）,,7,12,19,2,21,67,88
2017-03-08／（水）,,3,5,8,2,10,50,60
2017-03-09／（木）,,8,14,22,1,23,49,72
2017-03-10／（金）,,4,19,23,3,26,37,63
2017-03-11／（土）,,,,,,,,
2017-03-12／（日）,,,,,,,,
2017-03-13／（月）,,11,50,61,9,70,30,100
2017-03-14／（火）,1,12,29,41,1,42,35,78
2017-03-15／（水）,,1,22,23,3,26,28,54
2017-03-16／（木）,,,20,20,5,25,21,46
2017-03-17／（金）,,3,10,13,4,17,19,36
2017-03-18／（土）,,,,,,,,
2017-03-19／（日）,,,,,,,,
2017-03-20／（月）,,,,,,,,
2017-03-21／（火）,1,13,35,48,33,81,31,113
2017-03-22／（水）,,12,17,29,7,36,34,70
2017-03-23／（木）,,4,22,26,5,31,29,60
2017-03-24／（金）,,4,22,26,17,43,23,66
2017-03-25／（土）,,,,,,,,
2017-03-26／（日）,,,,,,,,
2017-03-27／（月）,,,78,78,69,147,44,191
2017-03-28／（火）,,,29,29,1,30,45,75
2017-03-29／（水）,,,28,28,,28,39,67
2017-03-30／（木）,,,31,31,4,35,34,69
2017-03-31／（金）,,,53,53,22,75,41,116
2017-04-01／（土）,,,,,,,,
2017-04-02／（日）,,,,,,,,
2017-04-03／（月）,,,80,80,54,134,44,178
2017-04-04／（火）,,,30,30,9,39,50,89
2017-04-05／（水）,,,30,30,8,38,38,76
2017-04-06／（木）,,,33,33,12,45,34,79
2017-04-07／（金）,,,12,12,23,35,41,76
2017-04-08／（土）,,,,,,,,
2017-04-09／（日）,,,,,,,,
2017-04-10／（月）,,,63,63,56,119,59,178
2017-04-11／（火）,,,78,78,87,165,61,226
2017-04-12／（水）,,,49,49,29,78,70,148
2017-04-13／（木）,,19,33,52,16,68,49,117
2017-04-14／（金）,,54,14,68,6,74,50,124
2017-04-15／（土）,,,,,,,,
2017-04-16／（日）,,,,,,,,
2017-04-17／（月）,16,4,69,73,81,154,72,242
