区分,取扱量（トン）,取扱金額（千円）
総取扱数量及び金額,632087,539856241
鮮魚,180346,157512673
鮮魚／まあじ,20072,9585215
鮮魚／さんま,14708,4885815
鮮魚／かつお,12852,6161394
鮮魚／さば,11868,4523229
活魚,14147,20402841
貝類,41102,40505560
冷凍魚,158587,156155814
冷凍魚／まぐろ類,50124,66423563
冷凍魚／さけ・ます類,35686,21903081
冷凍魚／えび類,16064,21542584
淡水魚,2077,2813904
海藻類,9478,3720199
加工品,226350,158745249
加工品／塩さけ類,14019,10522689
加工品／揚げ物,13218,5594368
加工品／開干あじ,9329,4912591
