市場名,所在地／郵便番号,所在地／住所,緯度,経度,座標系,用地面積（平方メートル）,卸売場面積（平方メートル）,取扱高（28年）数量：トン,取扱高（28年）金額：千円,業務開始年月日,開設者,開設者／電話番号,開設者／FAX,卸売業者,卸売業者／電話番号,卸売業者／FAX,用地面積(m2),卸売場面積(m2),保冷施設面積(m2),取扱品目,せり売開始時刻
東京都練馬青果地方卸売市場,177-0033,練馬区高野台二丁目1番18号,35.746483,139.624767,JGD2011,8949,2015,18696,4174453,2001-11-01,東京新宿青果株式会社,03-3366-6111,03-3366-6717,東京新宿べジフル株式会社,03-3997-3111,03-3997-3103,8949,2015,252,青果物,午前6時30分
東京都青梅青果地方卸売市場,198-0022,青梅市藤橋3丁目7番地の3,35.79749,139.304235,JGD2011,5718,1238,1407,357599,1973-01-01,青梅青果株式会社,0428-31-6114,0428-31-6116,青梅青果株式会社,0428-31-6114,0428-31-6116,5718,1238,36,青果物,午前7時30分
東京都八王子北野地方卸売市場,192-0906,八王子市北野町588番地2,35.651529,139.35488,JGD2011,11679,6008,18614,5041057,1972-06-12,東京八王子青果株式会社,042-645-1511,042-644-8030,東京八王子青果株式会社,042-645-1511,042-644-8030,11679,6008,802,青果物,午前6時45分
東京都国立地方卸売市場,186-8680,国立市谷保六丁目2番地の1,35.674225,139.446894,JGD2011,43778,9623,259982,70093760,1973-11-02,東京多摩青果株式会社,042-506-1112,042-576-2222,東京多摩青果株式会社,042-506-1112,042-576-2222,43778,9623,7396,青果物,午前7時
東京都東久留米地方卸売市場,203-0043,東久留米市下里六丁目4番1号,35.757676,139.496165,JGD2011,22334,4125,62502,15617433,1973-01-01,東京多摩青果株式会社,042-473-2411,042-471-5781,東京多摩青果株式会社,042-473-2411,042-471-5781,22334,4125,1483,青果物,午前7時
東京都八王子魚市場地方卸売市場,192-0906,八王子市北野町588番地1,35.651098,139.355531,JGD2011,5819,664,639,795727,1972-06-12,築地魚市場株式会社,042-644-6565,042-644-6562,築地魚市場株式会社,042-644-6565,042-644-6562,5819,664,381,水産物部,せり売は行っていない
東京東久留米水産地方卸売市場,203-0043,東久留米市下里五丁目12番12号,35.75672,139.497691,JGD2011,7044,239,979,913607,1973-01-01,東久留米卸売市場協同組合,042-471-2231,042-471-2234,東京北魚株式会社,042-471-6110,042-475-9759,7044,239,348,水産物部,せり売は行っていない
府中大東京綜合地方卸売市場,183-0025,府中市矢崎町4丁目1番地,35.658576,139.478636,JGD2011,16538,264,122,207037,1973-01-01,株式会社大東京綜合卸売センター,042-364-8211,042-364-8805,築地魚市場株式会社,042-362-8411,042-364-8355,16538,264,633,水産物部,せり売は行っていない
