種別,数量(トン),比率(%),金額(百万円),比率(%),一日当たりの取扱高／数量(トン),一日当たりの取扱高／金額(百万円)
総数,409867,100,429212,100,1541,1614
総数／鮮魚,142798,34.8,149939,34.9,537,564
総数／活魚,12728,3.1,18197,4.2,48,68
総数／貝類,26530,6.5,33006,7.7,100,124
総数／冷凍魚,82922,20.2,100946,23.5,312,379
総数／淡水魚,1313,0.3,2540,0.6,5,10
総数／海藻類,7596,1.9,3726,0.9,29,14
総数／加工品,135979,33.2,120857,28.2,511,454
