区分,17年度,18年度,19年度,20年度,21年度,22年度,23年度,24年度,25年度,26年度
水産物部／業者数（業者）,9,9,9,9,9,9,8,8,8,8
水産物部／赤字業者数（業者）,1,2,,4,1,3,1,3,,
青果部／業者数（業者）,9,9,9,10,10,10,10,10,10,10
青果部／赤字業者数（業者）,,1,2,3,2,1,,2,1,1
食肉部／業者数（業者）,1,1,1,1,1,1,1,1,1,1
食肉部／赤字業者数（業者）,,,,,,,,,,
花き部／業者数（業者）,8,8,8,8,8,8,8,7,7,7
花き部／赤字業者数（業者）,1,,1,1,,2,,1,,
