区分,大田構成比(%),世田谷構成比(%),板橋構成比(%),北足立構成比(%),葛西構成比(%)
所在区・地域内,4.0,18.5,5.5,11.4,33.3
隣接区・地域・県,36.3,40.9,55.1,35.6,47.5
その他（より広域）,59.7,40.6,39.5,53.1,19.2
