冷蔵庫施設,収容能力（トン）
水産物冷蔵庫,約2600
塩干物冷蔵庫,約1000
水産プレハブ冷蔵庫,約760
青果定温倉庫(26冷蔵室),約1100
東都水産（株）,約4400
（株）ホウスイ,約4700
築地魚市場(株),約4400
東京魚市場卸（協）,約3000
