区分,区部／昭和60年,区部／平成28年,多摩地域／昭和60年,多摩地域／平成28年,合計／昭和60年,合計／平成28年
水産市場,－,－,2,3,2,3
青果市場,4,1,16,4,20,5
青果・水産市場,－,－,2,0,2,0
花き市場,36,－,6,4,42,4
食肉市場,－,－,1,0,1,0
合計,40,1,27,11,67,12
