区分,17年度,18年度,19年度,20年度,21年度,22年度,23年度,24年度,25年度,26年度
水産物部(%),51.2,44.5,45.5,45.1,49.6,53.2,61.6,48.2,39.9,41.5
青果部(%),29.4,34,36.8,33.1,39.9,48.1,47,39.4,34,29.4
食肉部(%),19.4,17.2,7.1,7.4,21.4,25,40.7,50,50,28
花き部(%),33.3,39.6,29.5,33.3,29.5,34.1,31.8,31.8,34.9,35.7
