区分,平成２９年,平成２８年
冷凍,1238本(83.9ｔ),1310本（83.5t）
生,285(17.2ｔ),443本（27.2t）
合計,1523本(101.1Tｔ),1753本（110.7t）
最高値（キロ当たり）,（国内）本マグロ（生）,（国内）本マグロ（生）
最高値（キロ当たり）,産地青森県大間,産地青森県大間
最高値（キロ当たり）,重量212.0kg,重量200.0kg
最高値（キロ当たり）,キロ単価350000円,キロ単価70000円
最高値（キロ当たり）,一本値7420.0万円,一本値1400.0万円
最高値（キロ当たり）,（輸入）本マグロ,（輸入）本マグロ
最高値（キロ当たり）,産地ギリシャ（天然）,産地メキシコ（養殖）
最高値（キロ当たり）,重量78.6kg,重量98.0kg
最高値（キロ当たり）,キロ単価2800円,キロ単価2600円
最高値（キロ当たり）,一本値22.0万円,一本値25.5万円
