品目,順位,数量(トン),金額(百万円),,,,
みかん類,1,11725,3764,,,,
りんご類,2,7196,2355,,,,
すいか類,3,5487,1126,,,,
バナナ,4,3164,584,,,,
日本なし類,5,3120,900,,,,
いちご類,6,2904,4036,,,,
メロン類,7,2866,1642,,,,
かき類,8,2827,793,,,,
もも類,9,2117,1059,,,,
ぶどう類,10,2065,1936,,,,
