区分,占有率
青果,東京都中央卸売市場－9市場に占める取扱額の割合51.1%（平成29年）／全国の中央卸売市場－49市場に占める取扱額の割合14.9%（平成27年）
水産,東京都中央卸売市場－3市場に占める取扱額の割合2.0%（平成29年）／全国の中央卸売市場－35市場に占める取扱額の割合0.6%（平成27年）
花き,東京都中央卸売市場－5市場に占める取扱額の割合58.2%（平成29年）／全国の中央卸売市場－14市場に占める取扱額の割合40.3%（平成27年）
