採水日,対象物質,下水排除基準,定量下限値,5街区／青果棟,6街区／水産仲卸売場棟／西,6街区／水産仲卸売場棟／東,6街区／加工パッケージ棟,7街区／水産卸売場棟
2016-12-13（火）,ベンゼン（mg/L）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
2016-12-13（火）,シアン（mg/L）,1,0.1,不検出,不検出,不検出,不検出,不検出
2016-12-13（火）,ヒ素（mg/L）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
2016-12-13（火）,鉛（mg/L）,0.1,0.01,不検出,0.03,不検出,0.03,不検出
2016-12-13（火）,水銀（mg/L）,0.005,0.0005,不検出,不検出,不検出,不検出,不検出
2016-12-13（火）,六価クロム（mg/L）,0.5,0.05,不検出,不検出,不検出,不検出,不検出
2016-12-13（火）,カドミウム（mg/L）,0.03,0.003,不検出,不検出,不検出,不検出,不検出
2016-12-13（火）,pH,5を超え9未満,－,6.3,7.7,7.5,7.2,7.5
2016-12-20（火）,ベンゼン（mg/L）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
2016-12-20（火）,シアン（mg/L）,1,0.1,不検出,不検出,不検出,不検出,不検出
2016-12-20（火）,ヒ素（mg/L）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
2016-12-20（火）,鉛（mg/L）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
2016-12-20（火）,水銀（mg/L）,0.005,0.0005,不検出,不検出,不検出,不検出,不検出
2016-12-20（火）,六価クロム（mg/L）,0.5,0.05,不検出,不検出,不検出,不検出,不検出
2016-12-20（火）,カドミウム（mg/L）,0.03,0.003,不検出,不検出,不検出,不検出,不検出
2016-12-20（火）,pH,5を超え9未満,－,6.8,7,7.5,7.6,7.3
2016-12-27（火）※6街区は26日,ベンゼン（mg/L）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
2016-12-27（火）※6街区は26日,シアン（mg/L）,1,0.1,不検出,不検出,不検出,不検出,不検出
2016-12-27（火）※6街区は26日,ヒ素（mg/L）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
2016-12-27（火）※6街区は26日,鉛（mg/L）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
2016-12-27（火）※6街区は26日,水銀（mg/L）,0.005,0.0005,不検出,不検出,不検出,不検出,不検出
2016-12-27（火）※6街区は26日,六価クロム（mg/L）,0.5,0.05,不検出,不検出,不検出,不検出,不検出
2016-12-27（火）※6街区は26日,カドミウム（mg/L）,0.03,0.003,不検出,不検出,不検出,不検出,不検出
2016-12-27（火）※6街区は26日,pH,5を超え9未満,－,6.6,7.5,7.5,7.9,7.2
2017-01-04（水）,ベンゼン（mg/L）,0.1,0.01,,不検出,不検出,不検出,不検出
2017-01-04（水）,シアン（mg/L）,1,0.1,,不検出,不検出,不検出,不検出
2017-01-04（水）,ヒ素（mg/L）,0.1,0.01,,不検出,不検出,不検出,不検出
2017-01-04（水）,鉛（mg/L）,0.1,0.01,,不検出,不検出,不検出,不検出
2017-01-04（水）,水銀（mg/L）,0.005,0.0005,,不検出,不検出,不検出,不検出
2017-01-04（水）,六価クロム（mg/L）,0.5,0.05,,不検出,不検出,不検出,不検出
2017-01-04（水）,カドミウム（mg/L）,0.03,0.003,,不検出,不検出,不検出,不検出
2017-01-04（水）,pH,5を超え9未満,－,,7.2,7.5,7.9,7.5
2017-01-10（火）,ベンゼン（mg/L）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
2017-01-10（火）,シアン（mg/L）,1,0.1,不検出,不検出,不検出,不検出,不検出
2017-01-10（火）,ヒ素（mg/L）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
2017-01-10（火）,鉛（mg/L）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
2017-01-10（火）,水銀（mg/L）,0.005,0.0005,不検出,不検出,不検出,不検出,不検出
2017-01-10（火）,六価クロム（mg/L）,0.5,0.05,不検出,不検出,不検出,不検出,不検出
2017-01-10（火）,カドミウム（mg/L）,0.03,0.003,不検出,不検出,不検出,不検出,不検出
