区分,鮮魚,活魚,貝類,冷凍魚,淡水魚,海藻類,加工品,合計,1日当り
数量（トン）,2064,1365,484,761,9,83,2502,7268,28
金額（100万円）,3782,1754,449,1219,17,58,1788,9068,34
,,,,,,,,,
