区分,野菜／名,野菜／割合%),野菜／数量(万トン),くだ物／名,くだ物／割合(%),くだ物／数量(万トン)
1位,キャベツ,11.1,17.6,みかん,22.8,12.0
2位,ダイコン,8.7,13.7,りんご,13.5,7.1
3位,タマネギ,8.5,13.4,すいか,8.9,4.7
