取扱品目,市場名,所在地,緯度,経度,座標系
水産物＿青果物,東京都中央卸売市場築地市場（豊洲市場への移転まで）,中央区築地五丁目２番１号,35.662656,139.769203,JGD2011
水産物＿青果物,東京都中央卸売市場豊洲市場（豊洲市場への移転後）,江東区豊洲六丁目６番１号,35.64305,139.781005,JGD2011
食肉,東京都中央卸売市場食肉市場,港区港南二丁目７番19号,35.627024,139.743785,JGD2011
水産物＿青果物＿花き,東京都中央卸売市場大田市場,大田区東海三丁目２番１号,35.581005,139.760967,JGD2011
青果物,東京都中央卸売市場豊島市場,豊島区巣鴨五丁目１番５号,35.738036,139.735522,JGD2011
青果物,東京都中央卸売市場淀橋市場,新宿区北新宿四丁目２番１号,35.705605,139.693644,JGD2011
水産物,東京都中央卸売市場足立市場,足立区千住橋戸町50番地,35.740843,139.798693,JGD2011
青果物＿花き,東京都中央卸売市場板橋市場,板橋区高島平六丁目１番５号,35.793256,139.651894,JGD2011
青果物＿花き,東京都中央卸売市場世田谷市場,世田谷区大蔵一丁目４番１号,35.633314,139.621122,JGD2011
青果物＿花き,東京都中央卸売市場北足立市場,足立区入谷六丁目３番１号,35.79864,139.764307,JGD2011
青果物,東京都中央卸売市場多摩ニュータウン市場,多摩市永山七丁目４番地,35.610546,139.445039,JGD2011
青果物＿花き,東京都中央卸売市場葛西市場,江戸川区臨海町三丁目４番１号,35.649135,139.863654,JGD2011
