区分,取扱量（トン）,取扱金額（千円）
総取扱数量及び金額,2141458,529142788
野菜,1559463,341332117
野菜／キャベツ類,177747,15237272
野菜／だいこん,134360,11262153
野菜／たまねぎ,128590,11721593
野菜／はくさい,113189,6956394
野菜／ばれいしょ類,91034,11081174
野菜／にんじん,85435,12385768
果物,520080,171052155
果物／みかん類,110602,29996199
果物／りんご類,68510,18263704
果物／バナナ,61181,7067122
果物／すいか類,47163,8208906
果物／いちご類,28924,31185732
つけ物,17781,7287323
鳥卵,17973,3799261
その他,26162,5671932
,,
