市場名,切花／数量（百本）,切花（百本）／金額（千円）,切枝／数量（束）,切枝／金額（千円）,切葉／数量（百枚）,切葉／金額（千円）,鉢物類／数量（拾鉢）,鉢物類／金額（千円）,その他／数量（トン）,その他／金額（千円）,合計／数量（トン）,合計／金額（千円）
東京フロリネット多摩生花地方卸売市場,245,1021597,72958,44229,12729,29998,,,-,50590,-,1146414
八王子生花地方卸売市場,13725,51217,26768,3263,519,1289,,,-,1266,-,57035
青梅インターフローラ地方卸売市場,172630,997103,609923,62990,7460,19167,410514,639624,-,177977,-,1896861
第一花き立川地方卸売市場,79653,569605,145360,33785,3520,13987,6001,21381,-,5617,-,644375
