区分,敷地面積（ha）,取扱品目,年間取扱数量（万トン）
豊洲新市場,40,水産・青果物・食肉,98
上海東方国際水産センター（中国：2007年開場）,36,水産,50（想定）
ミラノ（イタリア）,68,水産・青果物・食肉,100（注参照）
メルカマドリッド（スペイン）,176,水産・青果物・食肉,197（2007年）
ランジス（フランス）,232,水産・青果物・花き・食肉,151（2007年）
