区分,業者／卸売業者,業者／仲卸業者／店舗（店舗）,業者／仲卸業者／業者（業者）,業者／売買参加者（名）
青果,"4社【東京青果（株）・東京荏原青果（株）・
東京神田青果市場（株）・東京東梅食品（株）】",301,166,1176
水産,1社【大都魚類（株）大田支社】,86,43,18（買出人約300人）
花き,2社【（株）大田花き・（株）フラワーオークションジャパン（FAJ）】,20,18,1526
