品目,入荷数量（トン）／2017-01-05（A）,入荷数量（トン）／2016-01-05（B）,入荷数量（トン）／前年比A/B(%)
あじ,21,14.7,142.9
さば,7,15.5,45.2
いわし,8,19,42.1
するめいか,6,11,54.5
はまち,41,34,120.6
かき（むき）,7.6,7.4,103
冷凍めばち,38.5,57.3,67.2
