年次(西暦),24年('12)／総数（トン）,24年('12)／割合(%),25年('13)／総数（トン）,25年('13)／割合(%),26年('14)／総数（トン）,26年('14)／割合(%),27年('15)／総数（トン）,27年('15)／割合(%),28年('16)／総数（トン）,28年('16)／割合(%)
開市日数（日）,274,274,272,272,270,270,268,268,266,266
全市場総数,444192,-,448946,-,462273,-,467929,-,454699,-
築地総数,417190,100,421729,100,435023,100,440145,100,429212,100
築地総数／鮮魚,129351,31,131553,31.2,141041,32.4,149990,34.1,149939,34.9
築地総数／活魚,15711,3.8,15995,3.8,16563,3.8,17824,4,18197,4.2
築地総数／貝類,29343,7,30779,7.3,33247,7.6,35194,8,33006,7.7
築地総数／冷凍魚,111069,26.6,116529,27.6,115932,26.6,107050,24.3,100946,23.5
築地総数／淡水魚,2206,0.5,2318,0.5,2297,0.5,2455,0.6,2540,0.6
築地総数／海藻類,3276,0.8,3189,0.8,3134,0.7,3244,0.7,3726,0.9
築地総数／加工品,126234,30.3,121366,28.8,122809,28.2,124388,28.3,120857,28.2
築地総数／一日平均取扱高,1523,-,1550,-,1611,-,1642,-,1614,-
築地総数／全市場比,-,93.9,-,93.9,-,94.1,-,94.1,-,94.4
築地総数／平成24年比,-,100,-,101.1,-,104.3,-,105.5,-,102.9
