区分,17年度,18年度,19年度,20年度,21年度,22年度,23年度,24年度,25年度,26年度
営業利益率(%),0.28,0.37,0.26,-0.2,0.11,0.1,0.16,-0.74,0.46,0.47
経常利益率(%),0.56,0.56,0.45,-0.13,0.35,0.25,0.3,-0.67,0.59,0.62
