品目,順位,数量(トン),金額(百万円),,,,
ぶり類,1,28786,18516,,,,
あじ類,2,15206,8712,,,,
たい類,3,11097,12896,,,,
まぐろ類,4,10021,22453,,,,
さけ・ます類,5,8145,11085,,,,
かつお類,6,8125,5289,,,,
いわし類,7,7985,2990,,,,
いか類,8,6375,5736,,,,
